hanzi;pinyin;meaning;hsk_level
爱情;àiqíng;Love;4
安排;ānpái;arrange;4
安全;ānquán;security;4
按时;ànshí;on time;4
按照;ànzhào;according to;4
百分之;bǎifēnzhī;percent;4
棒;bàng;stick；excellent;4
包子;bāozi;Steamed stuffed bun;4
保护;bǎohù;protect;4
保证;bǎozhèng;ensure;4
抱;bào;Hold;4
抱歉;bàoqiàn;feel sorry;4
报名;bàomíng;sign up;4
倍;bèi;times;4
本来;běnlái;originally;4
笨;bèn;stupid;4
比如;bǐrú;such as;4
毕业;bìyè;graduation;4
遍;biàn;Times;4
标准;biāozhǔn;standard;4
表格;biǎogé;form;4
;;;4
表示;biǎoshì;Express;4
表演;biǎoyǎn;perform;4
表扬;biǎoyáng;Praise;4
饼干;bǐnggān;Biscuits;4
并且;bìngqiě;also;4
博士;bóshì;doctor;4
不过;búguò;However;4
不得不;bùdébù;have to;4
不管;bùguǎn;no matter;4
不仅;bùjǐn;not only;4
部分;bùfen;Part;4
擦;cā;wipe;4
猜;cāi;guess;4
材料;cáiliào;Material Science;4
参观;cānguān;visit;4
餐厅;cāntīng;Restaurant;4
差不多;chàbuduō;Almost;4
尝;cháng;taste;4
长城;chángchéng;The Great Wall;4
长江;chángjiāng;The Yangtze River;4
场;chǎng;site;4
超过;chāoguò;Exceed;4
;;;4
厕所;cèsuǒ;Toilet;4
成功;chénggōng;Success;4
成为;chéngwéi;Become;4
诚实;chéngshí;honest;4
乘坐;chéngzuò;ride;4
吃惊;chījīng;Be amazed;4
重新;chóngxīn;again;4
抽烟;chōuyān;smoking;4
出差;chūchāi;A business travel;4
出发;chūfā;Set out;4
出生;chūshēng;Birth;4
出现;chūxiàn;Appear;4
厨房;chúfáng;Kitchen;4
传真;chuánzhēn;Fax;4
窗户;chuānghu;Window;4
词语;cíyǔ;terms, words;4
从来;cónglái;Always;4
粗心;cūxīn;careless;4
存;cún;Deposit;4
错误;cuòwù;error;4
答案;dá'àn;Answer;4
打招呼;dǎzhāohu;Say hello;4
;;;4
打扮;dǎban;dress up;4
打扰;dǎrǎo;Disturb;4
打印;dǎyìn;Print;4
打折;dǎzhé;Discount;4
打针;dǎzhēn;To make an injection;4
大概;dàgài;Probably;4
大使馆;dàshǐguǎn;Embassy;4
大约;dàyuē;about;4
戴;dài;wear;4
大夫;dàifu;Doctor;4
当;dāng;When;4
当时;dāngshí;at that time;4
刀;dāo;knife;4
导游;dǎoyóu;Guide;4
倒;dào;inverted;4
到处;dàochù;everywhere;4
到底;dàodǐ;To the end;4
道歉;dàoqiàn;apologize;4
得意;déyì;Proud;4
地点;dìdiǎn;location;4
得（助动词）;děi;have to;4
登机牌;dēngjīpái;Boarding pass;4
等 （动）;děng;Wait (verb);4
低;dī;low;4
底;dǐ;bottom;4
地球;dìqiú;earth;4
地址;dìzhǐ;address;4
掉;diào;fall;4
调查;diàochá;investigation;4
丢;diū;lose;4
动作;dòngzuò;action;4
堵车;dǔchē;Traffic jam;4
肚子;dùzi;belly;4
短信;duǎnxìn;Short message;4
对于;duìyú;about;4
对话;duìhuà;dialogue;4
对面;duìmiàn;Opposite side;4
而;ér;and;4
儿童;értóng;children;4
发生;fāshēng;Happen;4
发展;fāzhǎn;Development;4
法律;fǎlǜ;Law;4
翻译;fānyì;translate;4
烦恼;fánnǎo;annoyance;4
反对;fǎnduì;Opposition;4
方法;fāngfǎ;Method;4
方面;fāngmiàn;Aspect;4
方向;fāngxiàng;direction;4
房东;fángdōng;landlord;4
放弃;fàngqì;give up;4
放暑假;fàngshǔjià;summer vacation;4
放松;fàngsōng;Relax;4
份;fèn;share (measure word);4
丰富;fēngfù;rich;4
否则;fǒuzé;otherwise;4
符合;fúhé;accord with;4
富;fù;rich;4
付款;fùkuǎn;pay;4
父亲;fùqīn;father;4
复印;fùyìn;To copy;4
复杂;fùzá;complex;4
负责;fùzé;Be responsible for;4
改变;gǎibiàn;change;4
干杯;gānbēi;Cheers!;4
赶;gǎn;catch up with;4
敢;gǎn;dare;4
感动;gǎndòng;Be moved;4
感觉;gǎnjué;feel;4
感情;gǎnqíng;feeling;4
感谢;gǎnxiè;Thank;4
干;gān;dry;4
刚;gāng;just;4
高速公路;gāosùgōnglù;Expressway;4
胳膊;gēbo;Arm;4
各;gè;various;4
公里;gōnglǐ;kilometre;4
工资;gōngzī;wages;4
功夫;gōngfu;Kungfu;4
共同;gòngtóng;common;4
够;gòu;enough;4
购物;gòuwù;Shopping;4
估计;gūjì;estimate;4
鼓励;gǔlì;encourage;4
